,Unnamed: 0,algorithm,subset,dataset,Training Accuracy,Testing Accuracy,executions,ansatz
0,0,random,4,checkerboard,0.55,0.5,9602,tutorial_ansatz
0,0,approx,4,checkerboard,0.55,0.5,11202,strong_entangled
0,0,approx,6,checkerboard,0.55,0.5,38202,strong_entangled
0,0,approx,8,checkerboard,0.55,0.5,65202,tutorial_ansatz
0,0,approx,6,checkerboard,0.55,0.5,20202,tutorial_ansatz
0,0,approx,4,checkerboard,0.55,0.5,19202,strong_entangled
0,0,random,8,checkerboard,0.55,0.5,31602,tutorial_ansatz
0,0,random,1,checkerboard,0.55,0.5,3602,strong_entangled
0,0,approx,1,checkerboard,0.55,0.5,5202,basic_entangled
0,0,random,12,checkerboard,0.6,0.5,69602,basic_entangled
0,0,approx,6,checkerboard,0.575,0.5,20202,strong_entangled
0,0,approx,4,checkerboard,0.55,0.5,19202,tutorial_ansatz
0,0,approx,2,checkerboard,0.55,0.5,6202,tutorial_ansatz
0,0,approx,4,checkerboard,0.55,0.5,19202,basic_entangled
0,0,approx,2,checkerboard,0.55,0.5,6202,basic_entangled
0,0,approx,8,checkerboard,0.625,0.5,33202,strong_entangled
0,0,random,2,checkerboard,0.55,0.5,4602,strong_entangled
0,0,approx,6,checkerboard,0.55,0.5,20202,basic_entangled
0,0,random,8,checkerboard,0.575,0.5,31602,basic_entangled
0,0,approx,1,checkerboard,0.55,0.5,5202,tutorial_ansatz
0,0,random,12,checkerboard,0.8,0.5,69602,strong_entangled
0,0,random,12,checkerboard,0.55,0.5,69602,tutorial_ansatz
0,0,approx,8,checkerboard,0.55,0.5,65202,basic_entangled
0,0,approx,8,checkerboard,0.55,0.5,65202,strong_entangled
0,0,random,4,checkerboard,0.55,0.5,9602,basic_entangled
0,0,approx,2,checkerboard,0.55,0.5,8202,basic_entangled
0,0,approx,4,checkerboard,0.55,0.5,11202,basic_entangled
0,0,approx,1,checkerboard,0.55,0.5,5702,tutorial_ansatz
0,0,random,6,checkerboard,0.625,0.5,18602,strong_entangled
0,0,approx,6,checkerboard,0.55,0.5,38202,basic_entangled
0,0,approx,12,checkerboard,0.575,0.5,71202,basic_entangled
0,0,approx,1,checkerboard,0.55,0.5,5202,strong_entangled
0,0,random,1,checkerboard,0.55,0.5,3602,tutorial_ansatz
0,0,approx,8,checkerboard,0.55,0.5,33202,basic_entangled
0,0,random,4,checkerboard,0.575,0.5,9602,strong_entangled
0,0,random,6,checkerboard,0.575,0.5,18602,basic_entangled
0,0,approx,12,checkerboard,0.55,0.5,143202,basic_entangled
0,0,approx,1,checkerboard,0.55,0.5,5702,strong_entangled
0,0,approx,12,checkerboard,0.55,0.5,143202,strong_entangled
0,0,random,2,checkerboard,0.55,0.5,4602,basic_entangled
0,0,random,2,checkerboard,0.54375,0.575,58602,tutorial_ansatz
0,0,approx,12,checkerboard,0.625,0.5,71202,strong_entangled
0,0,random,1,checkerboard,0.55,0.5,3602,basic_entangled
0,0,approx,2,checkerboard,0.55,0.5,8202,strong_entangled
0,0,approx,8,checkerboard,0.575,0.5,33202,tutorial_ansatz
0,0,random,6,checkerboard,0.575,0.5,18602,tutorial_ansatz
0,0,approx,12,checkerboard,0.55,0.5,143202,tutorial_ansatz
0,0,approx,1,checkerboard,0.55,0.5,5702,basic_entangled
0,0,approx,2,checkerboard,0.55,0.5,6202,strong_entangled
0,0,approx,6,checkerboard,0.55,0.5,38202,tutorial_ansatz
0,0,approx,12,checkerboard,0.56875,0.55,149202,tutorial_ansatz
0,0,approx,2,checkerboard,0.55,0.5,8202,tutorial_ansatz
0,0,approx,4,checkerboard,0.55,0.5,11202,tutorial_ansatz
0,0,random,8,checkerboard,0.625,0.5,31602,strong_entangled
0,0,approx,8,linear,0.675,0.6,33202,strong_entangled
0,0,random,4,linear,0.85,0.4,9602,basic_entangled
0,0,random,2,linear,0.8,0.3,4602,strong_entangled
0,0,random,8,linear,0.9,0.4,31602,basic_entangled
0,0,random,1,linear,0.275,0.6,3602,tutorial_ansatz
0,0,approx,12,linear,0.625,0.5,71202,basic_entangled
0,0,approx,12,linear,0.65,0.2,143202,tutorial_ansatz
0,0,approx,6,linear,0.7,0.6,38202,basic_entangled
0,0,approx,1,linear,0.6,0.4,5702,basic_entangled
0,0,random,8,linear,0.95,0.5,31602,strong_entangled
0,0,approx,2,linear,0.575,0.3,6202,strong_entangled
0,0,approx,2,linear,0.675,0.5,6202,basic_entangled
0,0,approx,4,linear,0.65,0.7,19202,strong_entangled
0,0,random,6,linear,0.925,0.5,18602,tutorial_ansatz
0,0,random,12,linear,0.9,0.5,69602,basic_entangled
0,0,approx,4,linear,0.625,0.4,19202,tutorial_ansatz
0,0,approx,8,linear,0.575,0.6,65202,tutorial_ansatz
0,0,approx,1,linear,0.45,0.6,5702,strong_entangled
0,0,random,6,linear,0.875,0.7,18602,strong_entangled
0,0,random,2,linear,0.75,0.4,4602,basic_entangled
0,0,approx,6,linear,0.625,0.6,20202,tutorial_ansatz
0,0,approx,2,linear,0.275,0.6,8202,tutorial_ansatz
0,0,approx,6,linear,0.725,0.4,20202,strong_entangled
0,0,approx,1,linear,0.275,0.6,5202,tutorial_ansatz
0,0,approx,8,linear,0.675,0.5,33202,basic_entangled
0,0,approx,4,linear,0.675,0.5,11202,basic_entangled
0,0,random,12,linear,0.925,0.5,69602,strong_entangled
0,0,approx,1,linear,0.6,0.4,5202,basic_entangled
0,0,approx,2,linear,0.65,0.4,8202,basic_entangled
0,0,approx,6,linear,0.7,0.6,38202,strong_entangled
0,0,approx,8,linear,0.6,0.7,33202,tutorial_ansatz
0,0,approx,4,linear,0.625,0.6,11202,tutorial_ansatz
0,0,approx,12,linear,0.625,0.4,71202,strong_entangled
0,0,approx,6,linear,0.725,0.4,20202,basic_entangled
0,0,random,2,linear,0.725,0.4,4602,tutorial_ansatz
0,0,random,6,linear,0.85,0.4,18602,basic_entangled
0,0,approx,4,linear,0.65,0.3,11202,strong_entangled
0,0,approx,2,linear,0.5,0.7,8202,strong_entangled
0,0,approx,2,linear,0.625,0.6,6202,tutorial_ansatz
0,0,approx,1,linear,0.275,0.6,5702,tutorial_ansatz
0,0,approx,4,linear,0.625,0.4,19202,basic_entangled
0,0,random,12,linear,1.0,0.6,69602,tutorial_ansatz
0,0,approx,12,linear,0.675,0.5,143202,strong_entangled
0,0,approx,8,linear,0.6,0.4,65202,basic_entangled
0,0,approx,1,linear,0.45,0.6,5202,strong_entangled
0,0,approx,8,linear,0.625,0.7,65202,strong_entangled
0,0,random,4,linear,0.85,0.5,9602,tutorial_ansatz
0,0,random,8,linear,0.875,0.8,31602,tutorial_ansatz
0,0,random,4,linear,0.85,0.6,9602,strong_entangled
0,0,approx,6,linear,0.625,0.7,38202,tutorial_ansatz
0,0,approx,12,linear,0.525,0.5,143202,basic_entangled
0,0,approx,12,linear,0.65,0.6,71202,tutorial_ansatz
0,0,random,1,linear,0.45,0.6,3602,strong_entangled
0,0,random,1,linear,0.6,0.4,3602,basic_entangled
0,0,approx,8,microgrid,0.43125,0.45,143202,strong_entangled
0,0,random,1,microgrid,0.51875,0.475,57602,strong_entangled
0,0,random,12,microgrid,0.6,0.45,123602,strong_entangled
0,0,approx,2,microgrid,0.4875,0.6,86202,strong_entangled
0,0,approx,2,microgrid,0.41875,0.475,84202,strong_entangled
0,0,random,2,microgrid,0.475,0.475,58602,basic_entangled
0,0,approx,1,microgrid,0.4375,0.375,83202,basic_entangled
0,0,approx,4,microgrid,0.41875,0.6,89202,strong_entangled
0,0,random,2,microgrid,0.44375,0.45,58602,tutorial_ansatz
0,0,approx,2,microgrid,0.45,0.325,86202,basic_entangled
0,0,approx,2,microgrid,0.45625,0.625,86202,tutorial_ansatz
0,0,approx,8,microgrid,0.50625,0.475,111202,strong_entangled
0,0,random,12,microgrid,0.5375,0.65,123602,tutorial_ansatz
0,0,approx,8,microgrid,0.55625,0.425,111202,tutorial_ansatz
0,0,approx,4,microgrid,0.425,0.375,97202,tutorial_ansatz
0,0,approx,12,microgrid,0.5,0.55,221202,strong_entangled
0,0,approx,4,microgrid,0.4375,0.35,97202,basic_entangled
0,0,approx,8,microgrid,0.48125,0.425,111202,basic_entangled
0,0,approx,12,microgrid,0.525,0.375,149202,strong_entangled
0,0,random,12,microgrid,0.5875,0.525,123602,basic_entangled
0,0,random,4,microgrid,0.5125,0.425,63602,tutorial_ansatz
0,0,random,4,microgrid,0.43125,0.425,63602,basic_entangled
0,0,approx,12,microgrid,0.40625,0.5,221202,tutorial_ansatz
0,0,approx,12,microgrid,0.46875,0.35,221202,basic_entangled
0,0,random,8,microgrid,0.525,0.5,85602,basic_entangled
0,0,approx,8,microgrid,0.4125,0.425,143202,tutorial_ansatz
0,0,approx,8,microgrid,0.49375,0.475,143202,basic_entangled
0,0,approx,4,microgrid,0.5375,0.35,89202,basic_entangled
0,0,approx,1,microgrid,0.51875,0.475,83702,strong_entangled
0,0,random,1,microgrid,0.4375,0.375,57602,basic_entangled
0,0,random,2,microgrid,0.45625,0.35,58602,strong_entangled
0,0,approx,2,microgrid,0.4375,0.55,84202,tutorial_ansatz
0,0,approx,1,microgrid,0.4375,0.375,83702,basic_entangled
0,0,approx,1,microgrid,0.51875,0.475,83202,strong_entangled
