dataset,method,run_id,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.7,67.999719,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.7333333333333333,78.136942,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.5,102.514145,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.6,88.450841,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.6666666666666666,117.832408,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.7333333333333333,135.739936,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.5666666666666667,100.138490,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.7333333333333333,151.504686,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters8__rep1,1.0,132.622388,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.9666666666666667,200.243114,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters10__rep1,0.9666666666666667,154.576444,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters10__rep1,1.0,234.244560,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.6666666666666666,140.396818,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.4,213.162927,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.5666666666666667,160.891501,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.5666666666666667,245.448076,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.6333333333333333,183.618677,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.6666666666666666,278.244046,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.5333333333333333,205.485014,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.6333333333333333,312.416605,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters8__rep1,1.0,271.988888,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.9333333333333333,412.886393,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters10__rep1,1.0,316.072992,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.6,68.237932,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.5333333333333333,102.889217,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.4,78.323972,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.5666666666666667,88.838583,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.43333333333333335,118.783386,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs200_epochs0_001_epochs0_001_clusters10__rep1,1.0,479.998069,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.8666666666666667,100.227916,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.7,136.307538,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.4666666666666667,151.911671,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.8666666666666667,132.322819,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.7333333333333333,200.620426,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters10__rep1,0.9666666666666667,153.938710,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.5,140.275998,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters10__rep1,0.9333333333333333,233.261491,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters2__rep1,0.5666666666666667,211.911899,1600,2,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.5,160.705433,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters3__rep1,0.6,245.152083,2400,3,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.7,182.526273,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters4__rep1,0.5,278.116485,3200,4,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.36666666666666664,205.539945,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters5__rep1,0.8,312.067676,4000,5,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.9,272.023077,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters8__rep1,0.7,415.610976,6400,8,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters10__rep1,0.9333333333333333,315.667614,8000,10,0.5,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optadam_epochs200_epochs0_001_epochs0_001_clusters10__rep1,0.7,472.614378,8000,10,0.5,,60
